graph_number,GW,greedy,qaoa(p=1),qaoa(p=2),qaoa(p=3)
687,8,9,8,5,9
688,9,8,8,8,10
689,9,9,5,7,7
690,9,8,9,9,9
691,10,8,6,9,10
692,10,7,6,5,10
693,10,7,6,6,10
694,10,10,6,6,9
695,10,8,9,9,10
696,10,8,10,10,10
697,10,10,10,10,10
698,11,9,8,8,11
699,11,10,10,10,11
700,11,9,8,5,11
701,10,10,8,8,10
702,11,11,11,11,10
703,11,10,6,11,10
704,8,9,9,11,10
705,11,9,10,10,11
706,11,8,11,7,11
707,11,10,11,8,8
708,9,9,10,10,9
709,9,9,11,9,8
710,11,10,8,11,9
711,10,10,10,10,10
712,7,10,8,10,10
713,11,10,6,11,10
714,12,9,9,12,12
715,12,10,10,10,10
716,12,10,10,10,11
717,11,11,8,7,11
718,12,10,12,10,12
719,12,11,9,9,12
720,12,12,12,12,12
721,12,8,12,12,12
722,12,11,12,9,12
723,9,9,8,8,12
724,12,9,8,12,10
725,10,10,12,12,12
726,12,10,10,10,12
727,10,10,12,12,12
728,7,6,4,7,7
729,7,7,7,7,6
730,8,6,8,8,8
731,8,8,7,8,7
732,7,8,8,8,8
733,8,8,6,8,8
734,8,8,7,8,8
735,8,8,8,8,8
736,8,8,8,8,6
737,6,7,7,8,7
738,6,8,8,8,8
739,8,7,8,8,8
740,8,7,8,7,6
741,8,8,8,8,8
742,9,7,7,9,9
743,9,8,7,6,7
744,9,9,8,8,8
745,9,8,8,8,9
746,8,8,8,8,8
747,8,8,8,8,8
748,9,9,8,8,5
749,9,8,8,9,8
750,9,7,9,9,9
751,8,8,7,9,8
752,9,7,8,8,7
753,9,7,8,9,8
754,9,8,7,7,7
755,9,9,8,8,9
756,9,8,9,9,9
757,6,9,8,8,9
758,9,9,8,8,7
759,9,9,9,9,9
760,9,9,8,9,9
761,10,8,8,10,10
762,10,8,7,10,10
763,10,9,7,9,7
764,10,10,4,8,10
765,8,9,8,6,6
766,8,8,8,8,8
767,8,8,8,8,8
768,8,9,8,8,9
769,9,8,7,9,6
770,9,9,7,7,9
771,8,8,5,6,6
772,9,9,8,8,9
773,10,8,7,7,10
774,10,8,9,10,9
775,10,9,7,10,10
776,10,9,10,10,10
777,8,9,6,10,9
778,10,10,8,10,10
779,9,8,7,9,9
780,8,8,8,8,8
781,9,9,8,8,9
782,9,8,8,7,9
783,9,9,8,8,9
784,10,8,8,10,10
785,10,9,8,7,10
786,10,9,10,10,8
787,9,10,8,9,8
788,10,10,10,10,10
789,10,9,8,9,9
790,10,9,9,7,9
791,10,9,10,9,10
792,10,9,8,8,10
793,10,9,10,10,10
794,10,9,6,9,10
795,10,8,10,10,8
796,11,9,10,10,11
797,11,9,10,10,9
798,11,10,10,8,8
799,10,10,10,9,9
800,11,10,10,10,11
801,12,9,12,12,12
802,12,10,12,10,12
803,12,10,12,12,12
804,9,9,9,8,10
805,10,10,10,9,10
806,11,9,9,11,11
807,11,9,9,9,11
808,11,10,9,11,11
809,10,10,9,8,10
810,11,10,11,11,11
811,10,9,9,9,8
812,11,9,11,11,11
813,11,10,10,11,7
814,11,10,10,10,11
815,11,11,10,10,10
816,12,11,12,12,12
817,10,10,8,8,10
818,10,10,10,10,9
819,10,10,10,10,8
820,10,10,10,10,10
821,10,10,8,8,9
822,10,10,10,10,7
823,10,10,10,10,10
824,10,10,10,10,10
825,8,9,8,8,9
826,10,9,10,8,9
827,9,10,10,9,8
828,10,10,9,9,6
829,10,10,10,10,6
830,9,9,9,9,9
831,10,9,6,10,10
832,11,10,9,11,11
833,10,10,10,10,10
834,9,10,9,9,10
835,11,10,10,10,10
836,11,10,10,10,8
837,11,10,10,10,10
838,11,11,10,9,10
839,12,11,9,12,12
840,12,11,10,10,10
841,12,11,12,12,12
842,12,11,10,12,12
843,12,11,9,11,11
844,12,11,9,12,12
845,10,10,9,11,11
846,9,10,11,11,9
847,12,11,12,12,9
848,10,11,10,12,10
849,10,11,12,12,11
850,10,12,12,12,12
851,10,12,12,12,12
852,12,12,12,12,12
853,12,12,12,12,12
