graph_number,GW,greedy,qaoa(p=1),qaoa(p=2),qaoa(p=3)
163,8,8,6,6,8
164,9,8,7,7,9
165,9,8,4,9,9
166,9,9,7,7,9
167,9,9,8,8,9
168,9,6,9,6,5
169,9,7,6,9,8
170,7,7,7,7,7
171,8,8,3,8,8
172,8,7,6,6,8
173,8,8,8,6,6
174,8,8,8,6,7
175,9,9,8,8,9
176,9,7,7,8,9
177,9,9,5,9,9
178,9,9,8,8,9
179,8,7,8,8,6
180,8,8,6,5,8
181,8,8,6,6,8
182,8,7,8,7,8
183,8,7,6,8,8
184,9,9,8,8,9
185,9,8,8,8,9
186,9,8,8,9,9
187,9,8,8,8,7
188,10,10,7,10,10
189,10,8,10,10,10
190,10,9,7,10,10
191,10,9,10,10,10
192,10,7,6,9,10
193,9,9,8,8,9
194,9,7,8,9,9
195,9,8,6,8,9
196,10,10,9,9,10
197,10,10,10,10,10
198,8,8,6,8,9
199,8,8,8,8,9
200,9,9,5,9,9
201,9,9,8,7,9
202,9,9,8,8,9
203,8,8,10,9,10
204,10,9,10,10,10
205,10,10,10,10,10
206,10,10,10,10,10
207,8,7,8,6,8
208,7,7,7,7,7
209,7,7,7,7,7
210,7,7,7,7,7
211,8,8,6,8,8
212,8,8,6,6,8
213,7,7,5,6,8
214,8,8,8,8,8
215,7,7,7,7,7
216,8,8,8,8,8
217,7,7,6,8,8
218,8,8,8,8,8
219,8,7,5,7,8
220,8,8,7,8,8
221,9,9,5,4,9
222,9,7,9,9,9
223,9,8,8,9,9
224,8,7,8,8,8
225,8,8,8,8,8
226,7,8,8,8,7
227,7,7,8,8,8
228,8,8,8,8,8
229,8,8,6,6,8
230,8,7,7,7,8
231,8,8,4,8,8
232,9,8,6,9,9
233,8,8,6,8,8
234,8,7,6,8,8
235,9,9,9,9,9
236,9,8,6,9,9
237,9,8,9,9,7
238,9,9,9,9,5
239,7,7,5,7,7
240,8,7,8,8,8
241,8,8,6,6,8
242,7,7,5,7,7
243,8,8,6,6,8
244,7,7,6,6,8
245,8,7,8,8,8
246,8,8,8,8,8
247,9,9,5,8,9
248,9,7,8,8,9
249,9,7,8,9,9
250,9,8,8,7,9
251,8,7,8,8,8
252,8,7,6,8,8
253,8,8,8,8,8
254,9,9,9,9,9
255,9,7,6,9,9
256,9,7,5,9,9
257,9,8,9,9,9
258,8,7,8,8,8
259,8,7,7,8,8
260,8,8,8,8,8
261,9,9,9,9,9
262,9,7,4,9,9
263,9,7,6,9,9
264,9,8,9,9,9
265,10,10,4,9,10
266,10,7,6,6,10
267,10,7,6,10,10
268,10,8,5,6,10
269,8,8,6,6,8
270,9,7,8,8,9
271,8,8,8,9,9
272,9,9,8,8,9
273,9,8,8,8,9
274,9,8,5,9,9
275,7,7,9,9,9
276,9,8,5,9,9
277,10,9,10,10,10
278,10,8,10,10,10
279,9,9,8,9,9
280,9,8,9,9,9
