graph_number,is_bipartite,num_edges,diameter,clique_num,is_distance_regular,is_eulerian,cut_vertice_list,num_cut_vertices,cycle_basis,degree_sequence,aut_group_generator,grp_size_1,orbits,num_orbits,3_cycle_size_str,4_cycle_size_str,5_cycle_size_str,6_cycle_size_str,7_cycle_size_str
834, False ,15,2,4, False , False , [] ,0," [[2, 6, 0], [4, 6, 0], [5, 6, 0], [3, 1, 6, 0], [4, 1, 6], [5, 1, 6], [2, 5, 0], [3, 5, 0], [2, 4, 0]] "," [(0, 5), (1, 4), (2, 4), (3, 3), (4, 4), (5, 5), (6, 5)] ", [] ,1," [0, 1, 2, 3, 4, 5, 6] ",7,8,1,0,0,0
835, False ,15,2,4, False , False , [] ,0," [[2, 6, 0], [3, 6, 0], [4, 6, 0], [3, 1, 6], [4, 1, 6], [5, 1, 6, 0], [2, 5, 0], [3, 5, 0], [2, 4, 0]] "," [(0, 5), (1, 4), (2, 4), (3, 4), (4, 4), (5, 4), (6, 5)] "," [[6, 5, 4, 3, 2, 1, 0]] ",2," [0, 1, 2, 3, 2, 1, 0] ",4,8,1,0,0,0
836, False ,16,2,4, False , False , [] ,0," [[2, 6, 0], [3, 6, 0], [4, 6, 0], [5, 6, 0], [3, 1, 6], [4, 1, 6], [5, 1, 6], [2, 5, 0], [3, 5, 0], [2, 4, 0]] "," [(0, 5), (1, 4), (2, 4), (3, 4), (4, 4), (5, 5), (6, 6)] "," [[5, 4, 3, 2, 1, 0, 6]] ",2," [0, 1, 2, 2, 1, 0, 6] ",4,10,0,0,0,0
837, False ,17,2,5, False , False , [] ,0," [[2, 6, 0], [3, 6, 0], [4, 6, 0], [5, 6, 0], [3, 1, 6], [4, 1, 6], [5, 1, 6], [2, 5, 0], [3, 5, 0], [4, 5, 0], [2, 4, 0]] "," [(0, 5), (1, 4), (2, 4), (3, 4), (4, 5), (5, 6), (6, 6)] "," [[0, 1, 2, 3, 4, 6, 5], [4, 3, 2, 1, 0, 5, 6]] ",4," [0, 1, 2, 1, 0, 5, 5] ",4,11,0,0,0,0
838, False ,16,2,4, False , False , [] ,0," [[2, 6, 0], [4, 6, 0], [5, 6, 0], [3, 1, 6, 0], [4, 1, 6], [5, 1, 6], [2, 5, 0], [3, 5, 0], [2, 4, 0], [3, 4, 0]] "," [(0, 5), (1, 4), (2, 4), (3, 4), (4, 5), (5, 5), (6, 5)] "," [[0, 1, 2, 3, 5, 4, 6], [6, 3, 2, 1, 4, 5, 0]] ",4," [0, 1, 2, 1, 4, 4, 0] ",4,9,1,0,0,0
839, False ,16,2,4, False , False , [] ,0," [[2, 6, 0], [3, 6, 0], [4, 6, 0], [3, 1, 6], [4, 1, 6], [5, 1, 6, 0], [2, 5, 0], [3, 5, 0], [2, 4, 0], [3, 4, 0]] "," [(0, 5), (1, 4), (2, 4), (3, 5), (4, 5), (5, 4), (6, 5)] "," [[0, 1, 2, 3, 6, 5, 4], [3, 2, 1, 0, 4, 5, 6]] ",4," [0, 1, 1, 0, 4, 5, 4] ",4,9,1,0,0,0
840, False ,17,2,4, False , False , [] ,0," [[2, 6, 0], [3, 6, 0], [4, 6, 0], [5, 6, 0], [3, 1, 6], [4, 1, 6], [5, 1, 6], [2, 5, 0], [3, 5, 0], [2, 4, 0], [3, 4, 0]] "," [(0, 5), (1, 4), (2, 4), (3, 5), (4, 5), (5, 5), (6, 6)] "," [[0, 1, 2, 3, 5, 4, 6], [3, 2, 1, 0, 4, 5, 6]] ",4," [0, 1, 1, 0, 4, 4, 6] ",4,11,0,0,0,0
841, False ,18,2,5, False , False , [] ,0," [[2, 6, 0], [3, 6, 0], [4, 6, 0], [5, 6, 0], [3, 1, 6], [4, 1, 6], [5, 1, 6], [2, 5, 0], [3, 5, 0], [4, 5, 0], [2, 4, 0], [3, 4, 0]] "," [(0, 5), (1, 4), (2, 4), (3, 5), (4, 6), (5, 6), (6, 6)] "," [[0, 1, 2, 3, 4, 6, 5], [0, 1, 2, 3, 5, 4, 6], [3, 2, 1, 0, 4, 5, 6]] ",12," [0, 1, 1, 0, 4, 4, 4] ",3,12,0,0,0,0
842, False ,19,2,6, False , False , [] ,0," [[2, 6, 0], [3, 6, 0], [4, 6, 0], [5, 6, 0], [3, 1, 6], [4, 1, 6], [5, 1, 6], [2, 5, 0], [3, 5, 0], [4, 5, 0], [2, 4, 0], [3, 4, 0], [2, 3, 0]] "," [(0, 5), (1, 4), (2, 5), (3, 6), (4, 6), (5, 6), (6, 6)] "," [[0, 1, 2, 3, 4, 6, 5], [0, 1, 2, 3, 5, 4, 6], [0, 1, 2, 4, 3, 5, 6], [2, 1, 0, 3, 4, 5, 6]] ",48," [0, 1, 0, 3, 3, 3, 3] ",3,13,0,0,0,0
843, False ,17,2,5, False , False , [] ,0," [[2, 6, 0], [3, 6, 0], [4, 6, 0], [5, 6, 0], [2, 1, 6], [3, 1, 6], [4, 1, 6], [2, 5, 0], [3, 5, 0], [4, 5, 0], [2, 4, 0]] "," [(0, 5), (1, 4), (2, 5), (3, 4), (4, 5), (5, 5), (6, 6)] "," [[5, 1, 2, 3, 4, 0, 6], [0, 1, 4, 3, 2, 5, 6], [2, 3, 0, 1, 5, 4, 6]] ",8," [0, 1, 0, 1, 0, 0, 6] ",3,11,0,0,0,0
